Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
1007_s_at,10.250926569276597,9.43381945759,0.8171071116865978,10.44536089665427,1.6655461237863152e-19,2.0341295143953396e-18,Upregulated
1053_at,7.934485635553191,7.428041766250001,0.5064438693031903,7.288268246040178,2.7237241825513312e-11,1.5115376483977086e-10,Upregulated
117_at,6.563607516510639,6.17260781781,0.39099969870063855,2.7887314565952894,0.005919178315546544,0.012365282358332483,Upregulated
121_at,4.9462235079893615,4.888685221360001,0.057538286629360336,0.9667356474421752,0.3352742458039209,0.4069657779063819,Upregulated
1255_g_at,2.2237724358829785,2.21360690502,0.010165530862978667,1.307907337418905,0.19408982153607277,0.27162046185276384,Upregulated
1294_at,6.327721345659575,7.031845447549999,-0.7041241018904243,-7.977739604915071,8.126236448743146e-13,5.240740451224207e-12,Downregulated
1316_at,3.8537615606276594,4.501088259119999,-0.64732669849234,-7.158531598753254,4.160772514418887e-11,2.2662411185876885e-10,Downregulated
1320_at,2.9063553333297887,4.78617232125,-1.879816987920211,-15.467688480963961,1.5262375056464254e-29,4.477632896567342e-28,Downregulated
1405_i_at,9.734286165414893,10.586417992790002,-0.8521318273751088,-4.78209218478463,4.293746312886089e-06,1.3748269983622526e-05,Downregulated
1431_at,2.3294004594787237,2.2362082217400006,0.0931922377387231,2.068553307798674,0.0409924690007288,0.07230523308222736,Upregulated
1438_at,3.827879547436169,3.185692912719999,0.64218663471617,5.8327448338412555,4.912487923429508e-08,1.948835192871954e-07,Upregulated
1487_at,7.234059361553192,7.1226460752600005,0.11141328629319158,2.1180591559400237,0.03610040461780015,0.06459832200322704,Upregulated
1494_f_at,2.5374750845531913,2.3485335380500003,0.18894154650319095,1.3975227225090006,0.16491644864728022,0.2381644320412043,Upregulated
1552256_a_at,7.446905076170214,8.06722505642,-0.6203199802497856,-5.367935824723255,2.425346797806874e-07,8.902593521247562e-07,Downregulated
1552257_a_at,7.610132935308509,7.028009786849999,0.5821231484585097,7.743786164485386,4.814355160834171e-12,2.87908501979794e-11,Upregulated
1552258_at,2.4758031277659573,2.2745603882800003,0.20124273948595706,3.3350571495751216,0.001097806983784582,0.002565683776389916,Upregulated
1552261_at,3.1302563946382973,2.453585139869999,0.6766712547682983,5.947409968470025,4.6493302071395416e-08,1.8489380740939548e-07,Upregulated
1552263_at,6.324742627521276,6.97039037359,-0.6456477460687235,-7.7870776151474566,9.215085828735837e-13,5.912472937902728e-12,Downregulated
