Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),112/434,1.1390275921927505e-18,4.91604308790391e-15,0,0,2.9398865784499053,121.4654027232641,SEMA5A;FAM107A;ADARB1;FGF2;MYLK;CDH5;FGF7;DACH1;KDR;ENPP2;TNR;PDGFRB;PDGFRA;IGFBP5;LIMCH1;SEMA6D;APLP2;HGF;F2R;MAGI2;MITF;ACTN4;CLDN5;TIAM1;SFRP1;DAAM2;RUFY3;MYADM;VCL;BEX4;MACF1;PDGFB;TWIST2;PIK3R3;FOXO3;CORO1C;PODXL;PLXNA2;SCAI;NTNG1;ACE;JAG1;TGFB1;UBE2I;FZD4;CAV1;RDX;ALOX15B;SMAD7;IGSF10;DAB2;BMP2;FER;CXCL12;CNTN1;AMOTL2;AMOTL1;FERMT2;ACVRL1;CLIC4;ROBO4;FLT1;MCTP1;CITED2;FLT4;PTEN;LDB2;CX3CL1;GPER1;CTSH;EMILIN1;PHACTR1;EDN1;ANXA1;MYOC;RHOB;FGR;NAV3;TMSB15A;CDH11;MMRN2;PECAM1;CDH13;ITGA6;ENG;HBEGF;KANK1;SEMA3G;NEDD9;NEXN;PRR5L;SEMA3E;PPM1F;NKD1;ERBB4;SAP30L;PDPN;MGAT3;FLNA;FYN;SLIT2;SASH1;CD74;F10;LAMB1;TBX5;PODN;TJP1;MYO1C;APC;KIF26A;RECK
GO_Biological_Process_2023,Circulatory System Development (GO:0072359),46/132,2.224467092664212e-13,4.80039998596937e-10,0,0,4.440336207647418,129.365149512689,ACVRL1;FOXC2;RAMP2;CITED2;NOTCH4;FLT4;PDGFB;PTEN;TCF21;LDB3;CACNA1C;PCSK5;CRIP1;PDLIM1;CDH5;AKAP13;GJA1;PDLIM3;PDLIM2;SOX17;HEY1;SOX18;FLRT3;ERBB4;GJA5;HEY2;PLCE1;BVES;MEF2A;MEF2C;TGFB2;TGFB1;FOXF1;HEG1;SLC2A12;TBX5;TGFBR2;KAT2B;HEYL;BMP2;ID2;APLNR;TEK;ZFPM2;DZIP1;FBN1
GO_Biological_Process_2023,Heart Development (GO:0007507),53/171,7.567350417627799e-13,1.0886894800827194e-09,0,0,3.7341474870831375,104.21917216923477,ACVRL1;BMPR2;CITED2;PTEN;LDB3;PCSK5;AKAP13;GJA1;SGCD;SOX17;SOX18;GJA5;PLCE1;BVES;SGCG;MEF2A;MEF2C;LEFTY1;MYOCD;HEG1;TGFBR2;TGFBR3;KAT2B;APLNR;ZFPM2;FOXC2;NDRG4;RAMP2;PDGFB;CCM2L;CACNA1C;CRIP1;PDLIM1;PDLIM3;PDLIM2;FLRT3;ERBB4;GPC3;TGFB2;TGFB1;FOXF1;TBX5;TBX3;BMP5;APLN;TBX2;BMP4;FKBP1A;BMP2;ID2;TEK;DZIP1;FBN1
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),59/205,1.350599411590334e-12,1.45729676510597e-09,0,0,3.3638363907368096,91.93523835310982,SEMA5A;SPARC;FLT1;HSPB6;PDE3B;PTPRM;TSPAN12;ETS1;FGF2;AQP1;MECP2;CDH5;HHEX;HYAL1;ADAMTS1;KDR;CTSH;EMILIN1;CD34;HOXA5;PPP1R16B;SEMA6A;PTGIS;PRKCB;ANXA3;GAB1;EMP2;DCN;RHOB;CLDN5;SFRP1;COL4A2;RHOJ;COL4A3;APLNR;PPARG;PRKD1;RAMP2;NPR1;GATA6;ECSCR;SEMA3E;FOXO4;GATA2;RRAS;APOH;ALOX5;SASH1;TGFB2;TNFSF12;DAB2IP;VEGFC;SYNJ2BP;KLF4;IL6;RGCC;CNTN1;TEK;PF4
GO_Biological_Process_2023,Regulation Of Protein Phosphorylation (GO:0001932),69/265,3.304702828473419e-12,2.8526194815382554e-09,0,0,2.935950433178477,77.61383018287096,PID1;TFRC;FLT4;LRRK2;PTEN;ARRB1;FGF2;CDH5;CCND2;CCND1;GPER1;KDR;LEPR;PLCE1;SIRPA;ROPN1L;SH3GL2;LIMCH1;HGF;AXIN2;MOB3B;FGR;MOB3C;FKBP8;MYADM;PECAM1;ADTRP;TNIK;GAS6;ENG;FAXDC2;PIK3R3;FBLN1;PRR5L;FPR2;AGER;CORO1C;TTN;FXR1;PPP2CA;ERBB4;P2RY1;INPP5K;FYN;SLIT2;ZBED3;WWTR1;CD74;PRNP;NTRK2;TGFB1;ANGPT1;ODAM;RARRES2;IGF2;DAB2IP;VEGFC;PTPN13;BMP4;BST1;MARCO;BMP2;DAB2;FER;CD4;SLCO3A1;TMEM119;FAS;TEK
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),145/766,1.5042506944772938e-11,1.0820576662273332e-08,0,0,1.9712334690670263,49.12341624171985,CSF3;VIPR1;ATP8A2;TFRC;RTKN2;ADARB1;CLU;FGF2;ETS1;FGF7;CCND2;RPS6KA2;KDR;JUNB;SOX7;PDGFRB;PDGFRA;IL11RA;F2R;MAGI2;LIFR;KLHL41;PIAS1;CLDN5;TIAM1;AZGP1;SFRP1;SFRP5;COL4A3;AGTR1;NUPR1;IL6ST;BEX4;PTGFR;CUL3;NPR3;PDGFB;GATA3;FOXO4;PDS5B;EFNB2;GRK5;NACC2;IGFBP7;IGFBP6;WNT2;WWTR1;JUN;TGFB2;JAG1;JUND;TGFB1;TSLP;IGF2;SMAD6;ALOX15B;SMARCA2;BMP6;BMP5;BMP4;BST1;BMP2;FER;IL6;CDK6;RGCC;NR4A3;ID2;SCGB3A1;FGFR4;IL7R;FGFR2;FGFR1;TRIM71;ACVRL1;BTG2;BMPR2;ELN;TGFB1I1;FLT4;PTEN;CX3CL1;RERG;MECP2;HHEX;ADAMTS1;GPER1;CTSH;EMILIN1;JAK2;ADAMTS8;CD33;KLF11;EDN1;MYOCD;TSC22D1;ITGA1;GKN2;EMP2;GAB2;AXIN2;CBFA2T3;TGFBR2;KAT2B;HCK;ALDH1A2;MMRN2;RAPGEF2;CDH13;CD47;SHANK2;ENG;HBEGF;CCL14;KANK2;CEBPA;PLA2G1B;PTN;PPM1D;DLL1;GNAI2;FRZB;ERBB4;CXCR2;PDPN;SH2B3;NTRK2;TCF7L2;CCL23;CDKN2B;CNBP;DAB2IP;VEGFC;NAP1L1;TBX5;PODN;MEIS2;TBX3;EPOR;SKI;TJP1;MEIS1;MYO1C;APC;PF4
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),86/379,2.4418225516141542e-11,1.5046543829706798e-08,0,0,2.454130083630774,59.96836517063564,ACVRL1;CDKN1C;BTG2;ATP8A2;BMPR2;TGFB1I1;PTEN;ADARB1;ETS1;RERG;ADAMTS1;RPS6KA2;GPER1;JAK2;ADAMTS8;SOX7;CD33;KLF11;MYOCD;PTGIR;KRT4;IGFBP5;APLP2;CTNNBIP1;F2R;MAGI2;ITGA1;AXIN2;CBFA2T3;TGFBR3;KAT2B;MN1;AZGP1;SFRP1;SFRP5;ALDH1A2;COL4A3;MMRN2;RAPGEF2;CDH13;PPARG;ANG;NUPR1;TRIB1;KANK2;CEBPA;NDRG4;GATA6;FBLN1;GATA3;FOXO4;PDS5B;GATA2;PPM1D;DLL1;FRZB;ERBB4;NACC2;PDPN;APOD;IGFBP7;IGFBP6;PPARGC1A;SH2B3;CCL23;CDKN2B;TGFB2;TGFB1;DAB2IP;PODN;MCC;SMAD6;TBX5;ALOX15B;SMARCA2;TBX3;BMP5;SKI;BMP4;BMP2;IL6;CDK6;RGCC;MYO1C;APC;OGN
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),70/283,3.0059698581351987e-11,1.5046543829706798e-08,0,0,2.739432173851188,66.37051278067953,ACVRL1;GSK3B;CSF3;BMPR2;TGFB1I1;ADIRF;TMEM100;GJA1;ZFP36;GLIPR2;KDR;CD36;SOX6;CD34;HOXA5;CMKLR1;SOX5;MEF2C;PRKCH;ZHX3;HGF;CTNNBIP1;AXIN2;NPNT;TGFBR2;TIAM1;OLFM1;SFRP1;AGTR1;RAPGEF2;PPARG;PRKD1;IL6ST;NBL1;RBM24;DDR2;PKDCC;LAMA2;PLA2G5;PTN;NID1;RAP1A;RRAS;FRZB;PDPN;SMARCE1;MSR1;WWTR1;TGFB2;TGFB1;LAMB2;RARRES2;ZBTB16;LAMB1;TMEM64;ALOX15B;SMARCA2;BMP6;BMP4;HEYL;BMP2;DAB2;IL6;RGCC;ID2;TMEM119;TCF4;FERMT2;PF4;FGFR1
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),68/272,3.453379854899159e-11,1.5046543829706798e-08,0,0,2.7773573005361083,66.90398943167625,SEMA5A;BMPR2;FLT1;FLT4;FAM107A;MYLK;SRGAP2C;CDH5;SYDE1;GLIPR2;HYAL1;GPER1;KDR;ENPP2;CTSH;PDGFRB;PDGFRA;EDN1;SEMA6A;MYOC;PRKCE;HGF;SEMA6D;F2R;GAB1;ACTN4;FGR;TIAM1;DAAM2;TMSB15A;RUFY3;MYADM;PECAM1;RAPGEF2;CDH13;ITGA6;DDR2;HBEGF;PDGFB;TWIST2;SEMA3G;PIK3R3;NEDD9;SEMA3E;PPM1F;PODXL;PDPN;CLASP2;TGFB2;DMTN;TGFB1;UBE2I;F10;FZD4;CAV1;RDX;DAB2IP;LAMB1;RAB11A;TJP1;BMP2;DAB2;FER;CXCL12;MYO1C;APC;CNTN1;FERMT2
GO_Biological_Process_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),47/155,3.486224242286097e-11,1.5046543829706798e-08,0,0,3.6098967820279295,86.92493102325376,ACVRL1;RAMP2;BMPR2;FLT1;FLT4;PDGFB;NDNF;ZFP36L2;TMEM100;ZFP36;CLEC3B;RAP1A;HYAL1;HYAL2;KDR;INPP5K;NOS1;SOX6;WNT2;MAP2K5;SOX5;MEF2C;SEMA6A;EGR3;TGFB1;ANXA1;APLP2;HGF;MAGI2;PDE2A;DAB2IP;SMAD9;KLF4;BMP6;SMAD7;TGFBR2;EEF1A1;BMP4;EHD1;NR4A1;SFRP1;BMP2;GAS1;RAPGEF2;XCL1;PRKD1;CD44
