Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),34/111,6.9731980755239696e-12,2.573807409675897e-08,0,0,5.019981262518576,128.95803340718734,CDCA5;NCAPG2;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;CCNB1;NUSAP1;ZNF207;KNTC1;SPDL1;CEP55;DLGAP5;OFD1;SPAG5;KIF23;NDC80;ZWINT;EML4;TPX2;CENPE;KIF18A;KIF18B;ESPL1;KIF2A;KIFC2;KIFC1;CENPI;PRC1;CENPK;CHMP4C;KIF2C
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),15/26,1.5802162831270746e-10,1.458144575255508e-07,0,0,15.377158182935688,347.0361530114505,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;ZNF207;KNTC1;ATM;TRIP13;BUB1;MAD2L1;SPC25
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),15/26,1.5802162831270746e-10,1.458144575255508e-07,0,0,15.377158182935688,347.0361530114505,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;ZNF207;KNTC1;ATM;TRIP13;BUB1;MAD2L1;SPC25
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),15/26,1.5802162831270746e-10,1.458144575255508e-07,0,0,15.377158182935688,347.0361530114505,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;ZNF207;KNTC1;ATM;TRIP13;BUB1;MAD2L1;SPC25
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),15/28,6.537449876446157e-10,4.825945498792553e-07,0,0,13.010023166753346,275.13992195481467,ZWILCH;BUB1B;TTK;NDC80;ZWINT;CDC20;CENPF;NUF2;ZNF207;KNTC1;ATM;TRIP13;BUB1;MAD2L1;SPC25
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle Process (GO:0090068),31/118,3.932429639492658e-09,2.4190996332279e-06,0,0,4.04118952317758,78.21321586931326,FEN1;NUMA1;NCAPG2;KIF14;CDCA8;NCAPG;TGFA;SMC4;NCAPH;AURKB;CDC14B;AURKA;RACGAP1;NUSAP1;ECT2;E2F8;GEN1;PLK4;STIL;SPAG5;EGF;DDX11;CDC7;KIF23;CDC6;NDC80;CIT;DBF4;BIRC5;RHNO1;MAD2L1
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),25/85,1.0441531792156132e-08,5.505670549264041e-06,0,0,4.715007215007215,86.64992505851968,CDCA8;TTK;KIF11;AURKB;AURKA;CCNB1;NUF2;ZNF207;RCC1;DLGAP5;OFD1;STIL;NEK6;KIF23;NDC80;CENPE;TPX2;KIF2A;KIFC2;KIFC1;PRC1;KIF4A;EFHC1;BIRC5;SPC25
GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),15/34,2.0172731627796827e-08,8.731880089633418e-06,0,0,8.898683401805066,157.67518445225903,TOP2A;SPAG5;NCAPG2;SMC4;NDC80;ZWINT;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK;NUSAP1;ZNF207;KNTC1
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),20/59,2.1291498457518492e-08,8.731880089633418e-06,0,0,5.791836605646717,102.31255025046046,STIL;NEK6;CDCA8;TTK;KIF11;AURKB;NDC80;CENPE;CCNB1;ESPL1;KIF2A;KIF4A;NUF2;NUSAP1;EFHC1;CDK1;RCC1;BIRC5;DLGAP5;SPC25
GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),21/69,8.064790465688815e-08,2.8465494006863183e-05,0,0,4.941779765576804,80.71494390532695,GINS1;WDHD1;PRIM2;GINS2;BLM;RFC4;GINS4;HMGA1;MCM10;RECQL4;CDC45;ORC6;RAD51;POLG2;POLE2;MCM4;DNA2;MCM6;SSBP1;MCM2;TEFM
