Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Focal adhesion,59/201,5.344940379058744e-13,1.6248618752338584e-10,0,0,3.4593751865882054,97.75314149647788,GSK3B;FLT1;LAMC3;FLT4;RASGRF1;PTEN;ARHGAP5;MYLK;CCND2;CCND1;AKT3;KDR;TNR;PDGFRB;PDGFRA;VWF;PRKCB;HGF;ITGA1;ACTN4;COL4A2;COL4A4;COL6A2;COL4A3;COL6A1;COL4A6;ITGA8;COL4A5;ITGA7;COL6A6;ITGA6;COL6A5;ITGA5;TLN1;PPP1R12B;MYL9;VCL;ITGA9;SHC3;LAMA2;LAMA4;PXN;LAMA3;PDGFB;PIK3R3;PIK3R1;RAP1A;FLNA;PIP5K1B;FYN;JUN;CAV2;LAMB2;CAV1;VEGFC;PARVA;LAMB1;PARVB;ZYX
KEGG_2021_Human,Pathways in cancer,109/531,4.140966780901479e-11,6.2942695069702505e-09,0,0,2.167525142717357,51.8201219595069,SPI1;CSF3R;HHIP;FGF2;ETS1;FGF7;EDNRA;EDNRB;CCND2;CCND1;AKT3;PRKACA;PDGFRB;PDGFRA;DAPK1;PRKCB;DAPK2;HGF;DAPK3;F2R;MITF;AR;ADCY9;COL4A2;COL4A4;COL4A3;AGTR1;COL4A6;COL4A5;IL6ST;EPAS1;NOTCH4;PDGFB;PIK3R3;PIK3R1;RASGRP2;FOXO1;TPR;WNT2;FZD1;GSTM3;JUN;TGFB2;JAG1;TGFB1;GADD45B;FZD4;FZD7;ZBTB16;PTCH1;IGF2;FZD8;GNG12;GNG11;BMP4;BMP2;IL6;CDK6;CXCL12;GNAQ;CALM1;FGFR4;IL7R;FGFR2;GSTM5;FGFR1;GSK3B;WNT2B;LAMC3;FLT4;PTEN;HEY1;HEY2;JAK2;EDN1;ARHGEF12;DCC;FOS;AXIN2;TGFBR2;PLCB4;IL3RA;PPARG;ITGA6;PTGER4;CEBPA;LAMA2;LAMA4;LAMA3;ADCY4;PTGS2;DLL1;GNAI1;GNAI2;GNG2;GNA11;GNG7;RUNX1T1;ARNT2;TCF7L2;CDKN2B;TCF7L1;LAMB2;VEGFC;LAMB1;EPOR;HEYL;APC;FAS
KEGG_2021_Human,Vascular smooth muscle contraction,40/133,1.294052882838806e-09,1.3113069212766569e-07,0,0,3.5591297450879997,72.839322724962,RAMP2;CALCRL;RAMP3;NPR1;PLA2G1B;NPR2;ADCY4;CACNA1D;CACNA1C;PLA2G5;ACTG2;MYLK;EDNRA;CALD1;KCNMB1;GNA11;KCNMB4;MYH14;MYH11;PRKACA;MYH10;PRKG1;GUCY1A2;PPP1R14A;EDN1;PTGIR;PRKCH;ARHGEF12;PRKCB;PRKCE;PLA2G4C;ACTA2;ADCY9;PLCB4;GNAQ;AGTR1;PRKCQ;CALM1;PPP1R12B;MYL9
KEGG_2021_Human,ECM-receptor interaction,29/88,2.472504601057047e-08,1.879103496803356e-06,0,0,4.05434277751974,71.01363454770757,LAMA2;LAMC3;LAMA4;LAMA3;TNR;CD36;VWF;LAMB2;ITGA1;LAMB1;NPNT;FRAS1;COL4A2;COL4A4;COL6A2;COL4A3;COL6A1;COL4A6;ITGA8;COL4A5;ITGA7;COL6A6;ITGA6;CD47;COL6A5;ITGA5;CD44;FREM2;ITGA9
KEGG_2021_Human,Dilated cardiomyopathy,30/96,5.5902730826998726e-08,3.3988860342815225e-06,0,0,3.749577559986482,62.616642670933714,LAMA2;ADCY4;ADRB1;CACNA1D;CACNA1C;SLC8A1;TTN;SGCD;PLN;SGCA;SGCB;DMD;PRKACA;SGCG;TGFB2;TGFB1;TPM4;CACNA2D1;TNNC1;TPM2;ITGA1;CACNA2D2;ADCY9;DES;TNNT2;ITGA8;ITGA7;ITGA6;ITGA5;ITGA9
KEGG_2021_Human,Rap1 signaling pathway,50/210,7.182373027666308e-08,3.639069000684263e-06,0,0,2.5882387429643527,42.57407085090484,DOCK4;FLT1;FLT4;ITGAL;FGF2;FGF7;AKT3;KDR;PLCE1;MAGI1;PDGFRB;PDGFRA;PRKCB;HGF;MAGI3;F2R;MAGI2;ARAP3;ENAH;TIAM1;ADCY9;MRAS;PLCB4;RAPGEF2;PRKD1;TLN1;RAPGEF5;RAPGEF6;RAPGEF4;FPR1;PDGFB;ADCY4;PIK3R3;PIK3R1;RASGRP2;GNAI1;GNAI2;RAP1A;RRAS;CNR1;P2RY1;ANGPT1;VEGFC;GNAQ;ID1;TEK;CALM1;FGFR4;FGFR2;FGFR1
KEGG_2021_Human,Hypertrophic cardiomyopathy,28/90,1.704702042035865e-07,7.403277439698613e-06,0,0,3.722766346182646,58.018216446587,LAMA2;CACNA1D;CACNA1C;SLC8A1;TTN;SGCD;SGCA;SGCB;DMD;SGCG;EDN1;TGFB2;ACE;TGFB1;TPM4;CACNA2D1;TNNC1;TPM2;ITGA1;CACNA2D2;IL6;DES;TNNT2;ITGA8;ITGA7;ITGA6;ITGA5;ITGA9
KEGG_2021_Human,PI3K-Akt signaling pathway,70/354,5.574693998103761e-07,1.9246094937250937e-05,0,0,2.046288145539906,29.466259179898607,GSK3B;CSF3;CSF3R;FLT1;LAMC3;FLT4;PTEN;FGF2;GHR;FGF7;CCND2;CCND1;AKT3;KDR;TNR;JAK2;MAGI1;PDGFRB;PDGFRA;VWF;HGF;F2R;MAGI2;ITGA1;COL4A2;COL4A4;COL6A2;COL4A3;COL6A1;IL3RA;COL4A6;ITGA8;COL4A5;ITGA7;COL6A6;ITGA6;COL6A5;ITGA5;TLR4;CREB5;ITGA9;LAMA2;LAMA4;LAMA3;PDGFB;PIK3R3;PIK3R1;FOXO3;PPP2CA;GNG2;ERBB4;GNG7;NTRK2;ANGPT1;BDNF;LAMB2;IGF2;VEGFC;LAMB1;GNG12;GNG11;EPOR;NR4A1;IL6;CDK6;TEK;FGFR4;IL7R;FGFR2;FGFR1
KEGG_2021_Human,Proteoglycans in cancer,47/205,5.697857053791395e-07,1.9246094937250937e-05,0,0,2.460557910651291,35.37791517802773,WNT2B;SDC2;PXN;TWIST2;HSPB2;PIK3R3;PIK3R1;FGF2;RRAS;CCND1;ERBB4;AKT3;KDR;GPC3;PLCE1;TIMP3;FLNA;PRKACA;WNT2;FZD1;TGFB2;TGFB1;ARHGEF12;PRKCB;FZD4;CAV2;FZD7;HGF;CAV1;PTCH1;RDX;IGF2;GAB1;FZD8;MSN;ANK2;ANK3;DCN;TIAM1;MRAS;FAS;ITGA5;PPP1R12B;TLR4;CD44;HBEGF;FGFR1
KEGG_2021_Human,Amoebiasis,29/102,8.627576795777872e-07,2.622783345916473e-05,0,0,3.274214380698484,45.71828750797656,LAMA2;LAMC3;LAMA4;LAMA3;PIK3R3;PIK3R1;CD1C;C8B;CXCL3;CXCL2;GNA11;CTSG;PRKACA;TGFB2;TGFB1;PRKCB;LAMB2;LAMB1;ACTN4;IL6;PLCB4;COL4A2;COL4A4;GNAQ;COL4A3;COL4A6;COL4A5;TLR4;VCL
