Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cell cycle,31/124,1.41753211669271e-08,4.323472955912766e-06,0,0,3.7792261535278295,68.29728061827448,BUB1B;TTK;CDC14B;CDC20;CCNB2;CCNB1;ORC6;CDC45;PTTG1;CHEK1;SFN;E2F3;E2F5;BUB1;SMAD4;CDKN2A;CDC7;CDC6;CDC25C;CCNA2;DBF4;CCNE2;ESPL1;CCNE1;CDK1;MCM4;ANAPC5;ATM;MCM6;MCM2;MAD2L1
KEGG_2021_Human,p53 signaling pathway,17/73,6.740417745720179e-05,0.0102791370622232,0,0,3.419054945054945,32.83935111455971,RRM2;CDKN2A;GORAB;IGFBP3;SIAH1;SERPINB5;CCNB2;CCNB1;CCNE2;AIFM2;CCNE1;CHEK1;CDK1;PMAIP1;SFN;ATM;GTSE1
KEGG_2021_Human,DNA replication,10/36,0.0004727313544324629,0.048061021033967,0,0,4.320324283559578,33.08065085460696,PRIM2;FEN1;RNASEH2A;RFC4;POLE2;MCM4;DNA2;MCM6;SSBP1;MCM2
KEGG_2021_Human,Homologous recombination,10/41,0.001429682113164,0.1090132611287618,0,0,3.622509487666034,23.72853533661393,BARD1;BLM;BRIP1;RAD51;EME1;XRCC2;ATM;SSBP1;BRCA2;RAD54B
KEGG_2021_Human,Mucin type O-glycan biosynthesis,9/36,0.0020365511759235,0.1242296217313358,0,0,3.7417840375586855,23.1859554411588,GALNT7;GALNT6;GALNT14;ST6GALNAC1;GALNT2;B3GNT6;B3GNT3;GCNT3;GALNT10
KEGG_2021_Human,One carbon pool by folate,6/20,0.0043002060866341,0.2185938094039023,0,0,4.805448829898707,26.18533436268316,DHFR;ATIC;SHMT2;MTHFD2;TYMS;GART
KEGG_2021_Human,Fanconi anemia pathway,10/54,0.0115415459628535,0.5028816455243336,0,0,2.550412210338681,11.37943445722714,FANCI;RMI2;BLM;BRIP1;RAD51;EME1;FANCD2;UBE2T;POLK;BRCA2
KEGG_2021_Human,Pyrimidine metabolism,10/56,0.014804728175165,0.5394770834380385,0,0,2.4392583120204603,10.276128584610293,CDA;DTYMK;NT5E;RRM2;NME7;ENPP3;TK1;TYMS;DCTPP1;NME1
KEGG_2021_Human,Fructose and mannose metabolism,7/33,0.015918995904729,0.5394770834380385,0,0,3.0186779581274994,12.498057785521732,AKR1B10;GMDS;HKDC1;GMPPA;SORD;ALDOA;PFKP
KEGG_2021_Human,Pancreatic cancer,12/76,0.0205366558139708,0.6263680023261123,0,0,2.104371165644172,8.17662654827416,SMAD4;RAD51;CDKN2A;EGF;STAT1;TGFA;E2F3;BRAF;POLK;BRCA2;PLD1;TGFBR1
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,8/48,0.0401662357186152,0.9999912520913647,0,0,2.2421052631578946,7.207759787620101,UGDH;GALE;GMDS;HKDC1;GMPPA;GFPT1;GNPNAT1;NPL
