Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
IL6,20,0.02631578947368421,0.004268568324632398,0.029681301243057394
PIK3R3,14,0.018421052631578946,0.008677787631297526,0.04946576968737633
GNAQ,14,0.018421052631578946,0.002491642593607864,0.03675389591296677
FGF2,14,0.018421052631578946,0.0039614779411521915,0.03932119205298013
VWF,13,0.017105263157894738,0.006654782154176422,0.04333941605839416
CDH5,12,0.015789473684210527,0.0034495202976829033,0.04256272401433692
PTEN,11,0.014473684210526316,0.0028725055922525335,0.04230834320528008
GNAI1,11,0.014473684210526316,0.003214962204479636,0.043569187870338096
TYROBP,10,0.013157894736842105,0.0037867230658992666,0.033060037027241466
ANGPT1,10,0.013157894736842105,0.003829387659647453,0.04398148148148148
VCL,10,0.013157894736842105,0.0023642604535053045,0.023562216800278844
TEK,10,0.013157894736842105,0.00329461616142192,0.043498168498168496
BDNF,10,0.013157894736842105,0.003019924841165923,0.0389344262295082
DMD,10,0.013157894736842105,0.0027711901624945102,0.027110103854955114
TLR4,10,0.013157894736842105,0.010804250415234402,0.039349131323454266
FYN,9,0.011842105263157895,0.005295006290429633,0.040736516213133456
CXCL12,9,0.011842105263157895,0.00044641412490382715,0.024817558602388323
CD34,9,0.011842105263157895,0.0010457880537972071,0.025027876895628902
GNG2,9,0.011842105263157895,0.0008139600362645182,0.037169194171870354
ITGA5,8,0.010526315789473684,0.00160402653537665,0.022376696458126448
PRKCB,8,0.010526315789473684,0.002229782265116766,0.03881384878124514
JUN,8,0.010526315789473684,0.0008857659629970845,0.034535156789611825
CD4,8,0.010526315789473684,0.0003085777685320019,0.012335526315789474
PECAM1,8,0.010526315789473684,0.0005175983436853004,0.025134378499440092
TTN,8,0.010526315789473684,0.006942190786584378,0.031357528250025454
PPARG,7,0.009210526315789473,0.0008385753580261587,0.025134378499440092
GNA11,7,0.009210526315789473,0.0002740010621286699,0.03556187766714083
CAV1,7,0.009210526315789473,0.0016033661228169235,0.03631498470948012
