stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000013222,9606.ENSP00000367309,INMT,MAOB,9606,0.95,0.0,0.0,0.0,0.048,0.0,0.9,0.519
9606.ENSP00000181383,9606.ENSP00000366307,CPB2,THBD,9606,0.958,0.0,0.0,0.0,0.0,0.0,0.0,0.958
9606.ENSP00000212355,9606.ENSP00000368104,TGFBR3,BMP2,9606,0.825,0.0,0.0,0.0,0.0,0.045,0.0,0.825
9606.ENSP00000222693,9606.ENSP00000349541,CAV2,CAVIN1,9606,0.92,0.0,0.0,0.0,0.339,0.091,0.0,0.878
9606.ENSP00000222693,9606.ENSP00000339191,CAV2,CAV1,9606,0.999,0.0,0.0,0.106,0.794,0.829,0.9,0.985
9606.ENSP00000226067,9606.ENSP00000478026,HLF,ANXA8,9606,0.715,0.0,0.0,0.0,0.0,0.051,0.0,0.712
9606.ENSP00000233954,9606.ENSP00000339804,IL1RL1,TSLP,9606,0.831,0.0,0.0,0.0,0.086,0.0,0.0,0.823
9606.ENSP00000233954,9606.ENSP00000370842,IL1RL1,IL33,9606,0.999,0.0,0.0,0.0,0.086,0.963,0.9,0.999
9606.ENSP00000234816,9606.ENSP00000361554,ANGPTL1,TIE1,9606,0.732,0.0,0.0,0.0,0.072,0.115,0.0,0.699
9606.ENSP00000234816,9606.ENSP00000369375,ANGPTL1,TEK,9606,0.866,0.0,0.0,0.0,0.092,0.115,0.0,0.846
9606.ENSP00000242249,9606.ENSP00000327246,RAMP3,VIPR1,9606,0.753,0.0,0.0,0.0,0.081,0.0,0.0,0.743
9606.ENSP00000242249,9606.ENSP00000253796,RAMP3,RAMP2,9606,0.991,0.0,0.0,0.0,0.25,0.0,0.9,0.897
9606.ENSP00000242249,9606.ENSP00000376177,RAMP3,CALCRL,9606,0.999,0.0,0.0,0.0,0.083,0.926,0.9,0.999
9606.ENSP00000248564,9606.ENSP00000367762,GNG11,PLCB4,9606,0.703,0.0,0.0,0.0,0.0,0.0,0.65,0.188
9606.ENSP00000249887,9606.ENSP00000357103,ACKR4,ACKR1,9606,0.747,0.0,0.0,0.0,0.061,0.0,0.0,0.741
9606.ENSP00000252456,9606.ENSP00000401678,CNN1,MYOCD,9606,0.84,0.0,0.0,0.0,0.256,0.0,0.0,0.794
9606.ENSP00000252456,9606.ENSP00000386857,CNN1,ACTG2,9606,0.93,0.0,0.0,0.0,0.793,0.114,0.0,0.652
9606.ENSP00000252456,9606.ENSP00000379616,CNN1,MYH11,9606,0.968,0.0,0.0,0.0,0.788,0.0,0.0,0.859
9606.ENSP00000253410,9606.ENSP00000365243,HIGD1B,COX4I2,9606,0.72,0.0,0.0,0.0,0.275,0.085,0.0,0.612
9606.ENSP00000253796,9606.ENSP00000327246,RAMP2,VIPR1,9606,0.942,0.0,0.0,0.0,0.066,0.0,0.0,0.94
9606.ENSP00000253796,9606.ENSP00000376177,RAMP2,CALCRL,9606,0.999,0.0,0.0,0.0,0.128,0.946,0.9,0.999
9606.ENSP00000254963,9606.ENSP00000384537,HSPA12B,AKAP12,9606,0.774,0.0,0.0,0.0,0.053,0.625,0.0,0.415
9606.ENSP00000256104,9606.ENSP00000497642,FABP4,LPL,9606,0.965,0.0,0.0,0.0,0.465,0.0,0.5,0.882
9606.ENSP00000256104,9606.ENSP00000415743,FABP4,CD36,9606,0.969,0.0,0.0,0.0,0.521,0.0,0.5,0.881
9606.ENSP00000256178,9606.ENSP00000497290,LYVE1,CDH5,9606,0.707,0.0,0.0,0.0,0.253,0.0,0.0,0.624
9606.ENSP00000256178,9606.ENSP00000261405,LYVE1,VWF,9606,0.724,0.0,0.0,0.0,0.259,0.058,0.0,0.636
9606.ENSP00000256178,9606.ENSP00000296420,LYVE1,EMCN,9606,0.746,0.0,0.0,0.0,0.247,0.0,0.0,0.677
9606.ENSP00000256178,9606.ENSP00000297904,LYVE1,VEGFD,9606,0.937,0.0,0.0,0.0,0.096,0.045,0.0,0.933
9606.ENSP00000257566,9606.ENSP00000363804,TBX3,KLF4,9606,0.878,0.0,0.0,0.0,0.067,0.054,0.0,0.873
9606.ENSP00000261405,9606.ENSP00000282588,VWF,ITGA1,9606,0.706,0.0,0.0,0.0,0.089,0.0,0.65,0.152
9606.ENSP00000261405,9606.ENSP00000367316,VWF,ITGA8,9606,0.708,0.0,0.0,0.0,0.092,0.0,0.65,0.155
9606.ENSP00000261405,9606.ENSP00000378431,VWF,MMRN1,9606,0.72,0.0,0.0,0.0,0.235,0.045,0.0,0.648
9606.ENSP00000261405,9606.ENSP00000428340,VWF,ANGPT1,9606,0.755,0.0,0.0,0.0,0.077,0.046,0.0,0.744
9606.ENSP00000261405,9606.ENSP00000369375,VWF,TEK,9606,0.757,0.0,0.0,0.0,0.237,0.0,0.0,0.695
9606.ENSP00000261405,9606.ENSP00000278927,VWF,ESAM,9606,0.77,0.0,0.0,0.0,0.364,0.0,0.0,0.654
9606.ENSP00000261405,9606.ENSP00000296028,VWF,PPBP,9606,0.773,0.0,0.0,0.0,0.099,0.0,0.0,0.759
9606.ENSP00000261405,9606.ENSP00000415743,VWF,CD36,9606,0.803,0.0,0.0,0.0,0.179,0.0,0.0,0.77
9606.ENSP00000261405,9606.ENSP00000363593,VWF,SVEP1,9606,0.857,0.0,0.0,0.0,0.142,0.091,0.0,0.831
9606.ENSP00000261405,9606.ENSP00000497290,VWF,CDH5,9606,0.881,0.0,0.0,0.0,0.351,0.042,0.0,0.823
9606.ENSP00000261405,9606.ENSP00000366307,VWF,THBD,9606,0.912,0.0,0.0,0.0,0.124,0.091,0.0,0.898
9606.ENSP00000261405,9606.ENSP00000385477,VWF,CLDN5,9606,0.92,0.0,0.0,0.0,0.77,0.0,0.0,0.669
9606.ENSP00000261448,9606.ENSP00000401437,CASQ2,LDB3,9606,0.731,0.0,0.0,0.0,0.467,0.06,0.0,0.507
9606.ENSP00000261707,9606.ENSP00000367309,SLC6A4,MAOB,9606,0.868,0.0,0.0,0.0,0.057,0.0,0.0,0.866
9606.ENSP00000261707,9606.ENSP00000414303,SLC6A4,BDNF,9606,0.922,0.0,0.0,0.0,0.0,0.0,0.0,0.922
9606.ENSP00000262426,9606.ENSP00000496415,FOXF1,FOXF2,9606,0.708,0.0,0.0,0.053,0.478,0.422,0.0,0.1
9606.ENSP00000262648,9606.ENSP00000264498,ANOS1,FGF2,9606,0.781,0.0,0.0,0.0,0.042,0.405,0.5,0.323
9606.ENSP00000264381,9606.ENSP00000367309,BCHE,MAOB,9606,0.809,0.0,0.0,0.0,0.123,0.0,0.0,0.791
9606.ENSP00000264498,9606.ENSP00000361554,FGF2,TIE1,9606,0.701,0.0,0.0,0.0,0.0,0.168,0.0,0.655
9606.ENSP00000264498,9606.ENSP00000377836,FGF2,GPC3,9606,0.706,0.0,0.0,0.0,0.042,0.292,0.0,0.601
9606.ENSP00000264498,9606.ENSP00000341170,FGF2,PTN,9606,0.722,0.0,0.0,0.0,0.084,0.0,0.0,0.709
9606.ENSP00000264498,9606.ENSP00000363804,FGF2,KLF4,9606,0.743,0.0,0.0,0.0,0.042,0.045,0.0,0.742
9606.ENSP00000264498,9606.ENSP00000428340,FGF2,ANGPT1,9606,0.822,0.0,0.0,0.0,0.058,0.0,0.0,0.819
9606.ENSP00000264498,9606.ENSP00000357206,FGF2,NES,9606,0.836,0.0,0.0,0.0,0.102,0.045,0.0,0.825
