Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
CDK1,76,0.12006319115323855,0.022560025839893666,0.1413577845370305
KIF11,68,0.10742496050552923,0.0008715717417822877,0.11728757354775285
CCNB1,68,0.10742496050552923,0.0009978820242218473,0.11728757354775285
NUF2,67,0.10584518167456555,0.001288874611689394,0.11728757354775285
CCNA2,66,0.10426540284360189,0.008653544718132261,0.1365185090303574
BUB1,66,0.10426540284360189,0.00032294276978027387,0.1169255748639635
BUB1B,65,0.10268562401263823,0.0003409818086853777,0.11656580386438208
CEP55,64,0.10110584518167456,0.002583525494616113,0.1169255748639635
DLGAP5,64,0.10110584518167456,0.00038357066424504554,0.11603027949747068
MELK,64,0.10110584518167456,0.00045263021018623103,0.11656580386438208
PBK,63,0.0995260663507109,0.0003117734702186958,0.11656580386438208
CDC20,63,0.0995260663507109,0.0006274149772487233,0.11638674733002817
TOP2A,63,0.0995260663507109,0.008481625384926724,0.13554163240044428
CCNB2,62,0.09794628751974724,0.0004229415064889185,0.11603027949747068
KIF20A,62,0.09794628751974724,0.0019624789204234373,0.11585286316796382
BIRC5,62,0.09794628751974724,0.00023101949348039447,0.11603027949747068
ASPM,60,0.0947867298578199,0.0002744309756792014,0.11567598856770739
NCAPG,60,0.0947867298578199,0.0003917386122018886,0.11549965321928102
CENPF,60,0.0947867298578199,0.00023853409774479781,0.11532385466034756
HJURP,59,0.09320695102685624,0.0077521735348834424,0.13362922841595828
KIF2C,59,0.09320695102685624,0.00028916337848045937,0.11514859044353852
TPX2,59,0.09320695102685624,0.0004257487483978676,0.11497385813634044
TTK,59,0.09320695102685624,0.0004060411392399971,0.11532385466034756
CENPA,58,0.09162717219589257,0.006538451063436127,0.13362922841595828
NUSAP1,57,0.09004739336492891,0.0002549419652349193,0.11497385813634044
MAD2L1,57,0.09004739336492891,0.00023560871427265494,0.11514859044353852
RRM2,56,0.08846761453396525,0.015813101171859353,0.1169255748639635
AURKB,56,0.08846761453396525,0.0001396849228754902,0.11497385813634044
HMMR,55,0.08688783570300158,0.00012028730795450007,0.11445282856774676
KIF4A,54,0.08530805687203791,8.733703120246204e-05,0.11410809113230172
ZWINT,54,0.08530805687203791,0.00022709722926803885,0.11445282856774676
UBE2C,53,0.08372827804107424,0.00016252643711956672,0.11410809113230172
AURKA,53,0.08372827804107424,0.0021464231303537766,0.11479965532098235
NEK2,52,0.08214849921011058,7.379465847347057e-05,0.11376542419196449
NDC80,52,0.08214849921011058,0.00031795766019643447,0.11376542419196449
KIF23,50,0.07898894154818326,8.365029833546045e-05,0.11308622762962439
CDCA5,50,0.07898894154818326,0.0001278065921299827,0.11175187686113325
PRC1,50,0.07898894154818326,0.00016163427525868414,0.11325526533908573
MKI67,49,0.07740916271721959,8.740637413132291e-05,0.11291769375834329
FOXM1,48,0.07582938388625593,0.00022177805889720626,0.11308622762962439
CDCA3,48,0.07582938388625593,6.107963701155187e-05,0.11291769375834329
SPAG5,46,0.07266982622432859,0.0011269824265182121,0.11028787847430618
PTTG1,45,0.07109004739336493,3.525439386866485e-05,0.11258212854658001
KIF14,44,0.06951026856240126,0.0001677383710964131,0.10949100073966524
DEPDC1,43,0.0679304897314376,0.00040848763496863265,0.10964945370745058
CDKN3,43,0.0679304897314376,3.08111349762509e-05,0.11191694610317332
PCLAF,41,0.06477093206951026,5.351944452426187e-05,0.11208250371575199
TRIP13,41,0.06477093206951026,0.0008874831017994523,0.10901837771488972
CHEK1,40,0.0631911532385466,0.001523783873133938,0.11158729383188269
ANLN,39,0.061611374407582936,0.00019818441447404334,0.11109644063320871
OIP5,38,0.06003159557661927,6.184245145782943e-05,0.10854981735221825
SPC25,36,0.05687203791469194,2.320026363075136e-05,0.1082396750169262
ECT2,35,0.05529225908372828,1.8844103172786765e-05,0.10793129987442784
H4C6,35,0.05529225908372828,0.07150675570467505,0.1385151234220262
CDCA2,35,0.05529225908372828,0.0008761481797852719,0.10777777028712425
RAD51AP1,34,0.053712480252764615,0.0005838646070217086,0.11044864797645532
TYMS,32,0.05055292259083728,0.002244171877122575,0.11028787847430618
TK1,32,0.05055292259083728,3.325298958380999e-05,0.11012757632536097
CENPN,31,0.04897314375987362,0.0020841120351674665,0.12280027959780931
KNL1,28,0.044233807266982623,1.7236077515677913e-05,0.10611732844796688
SHCBP1,27,0.042654028436018954,1.4316848476382176e-05,0.10701662784159371
UBE2T,26,0.04107424960505529,0.0003346120740365529,0.10582091132939712
CENPU,25,0.03949447077409163,0.001622878555854135,0.12122843601895734
DEPDC1B,22,0.03475513428120063,1.9293911235297118e-05,0.10611732844796688
MND1,22,0.03475513428120063,0.001233971869816953,0.10567332288960718
KIF18B,21,0.03317535545023697,7.588004018503751e-07,0.1037914691943128
E2F8,21,0.03317535545023697,2.0132904824514972e-05,0.10747201774730263
UHRF1,20,0.0315955766192733,0.003829355908085744,0.12220608469652959
GTSE1,19,0.030015797788309637,1.2248072037016576e-06,0.10479636585317889
MCM4,19,0.030015797788309637,0.008503128750034457,0.10949100073966524
KNTC1,19,0.030015797788309637,4.434854791187525e-05,0.104219769617398
EXO1,19,0.030015797788309637,0.0007011339658564116,0.08851375293440228
MCM2,19,0.030015797788309637,0.009342659123430085,0.10949100073966524
RAD51,19,0.030015797788309637,0.012220420144690266,0.11028787847430618
CDT1,19,0.030015797788309637,0.0010626656981731805,0.0886172777916355
CDC6,18,0.02843601895734597,0.001477078577304706,0.08851375293440228
MCM10,18,0.02843601895734597,0.0003722413034791469,0.08810206106028877
FEN1,18,0.02843601895734597,0.0007807140161376225,0.08799973578611887
WDHD1,17,0.026856240126382307,6.656274937989693e-05,0.08759280059173219
DTL,15,0.023696682464454975,0.00967738859700162,0.08851375293440228
POLE2,15,0.023696682464454975,3.5256899420916443e-05,0.08739074107479625
CENPK,14,0.022116903633491312,0.0005261158536413084,0.11857241394655453
PRIM2,14,0.022116903633491312,0.00011258055906805086,0.08718961163618913
RFC4,13,0.020537124802527645,3.601724891389501e-05,0.08718961163618913
RECQL4,13,0.020537124802527645,2.9935300122473918e-05,0.08619769341507207
FANCI,13,0.020537124802527645,0.00020052706929271185,0.10350788594514801
TIMELESS,12,0.018957345971563982,2.3050012769194015e-05,0.08590450398168746
MRTO4,12,0.018957345971563982,0.0038154182224012447,0.035513812260812364
DNA2,12,0.018957345971563982,1.988273412532081e-05,0.08590450398168746
CDCA8,11,0.017377567140600316,0.004337742185252348,0.0870893936917797
BYSL,11,0.017377567140600316,0.001442845620660727,0.034670754402988925
BRIX1,10,0.01579778830963665,0.0030553790924722885,0.031044490980565043
NPM1,10,0.01579778830963665,0.011940673543799107,0.04359717997689279
GINS4,10,0.01579778830963665,5.511556555700698e-06,0.08542026213286172
MMP9,10,0.01579778830963665,0.0004743026452487128,0.02123924872740039
GTPBP4,9,0.014218009478672985,0.0004152674559514196,0.02691357080976405
MRPL3,9,0.014218009478672985,0.001514827397848512,0.02940337251463209
