stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000156626,9606.ENSP00000217182,ST6GALNAC1,EEF1A2,9606,0.944,0.0,0.0,0.0,0.055,0.231,0.0,0.93
9606.ENSP00000161559,9606.ENSP00000221992,CEACAM1,CEACAM5,9606,0.909,0.0,0.0,0.059,0.128,0.188,0.0,0.88
9606.ENSP00000166345,9606.ENSP00000251496,TRIP13,NCAPG,9606,0.711,0.0,0.0,0.0,0.562,0.0,0.0,0.368
9606.ENSP00000166345,9606.ENSP00000301633,TRIP13,BIRC5,9606,0.716,0.0,0.0,0.0,0.619,0.071,0.0,0.262
9606.ENSP00000166345,9606.ENSP00000468425,TRIP13,TK1,9606,0.722,0.042,0.0,0.0,0.407,0.0,0.0,0.55
9606.ENSP00000166345,9606.ENSP00000302530,TRIP13,BUB1,9606,0.725,0.0,0.0,0.0,0.576,0.0,0.0,0.378
9606.ENSP00000166345,9606.ENSP00000363055,TRIP13,ZWINT,9606,0.727,0.0,0.0,0.0,0.443,0.0,0.0,0.531
9606.ENSP00000166345,9606.ENSP00000356379,TRIP13,ASPM,9606,0.729,0.0,0.0,0.0,0.553,0.0,0.0,0.418
9606.ENSP00000166345,9606.ENSP00000414109,TRIP13,HJURP,9606,0.741,0.0,0.0,0.0,0.633,0.0,0.0,0.325
9606.ENSP00000166345,9606.ENSP00000288207,TRIP13,CCNB2,9606,0.741,0.0,0.0,0.0,0.584,0.112,0.0,0.355
9606.ENSP00000166345,9606.ENSP00000499238,TRIP13,NUSAP1,9606,0.744,0.0,0.0,0.0,0.518,0.0,0.0,0.491
9606.ENSP00000166345,9606.ENSP00000356319,TRIP13,KIF14,9606,0.744,0.0,0.0,0.0,0.527,0.292,0.0,0.297
9606.ENSP00000166345,9606.ENSP00000355922,TRIP13,CENPF,9606,0.746,0.0,0.0,0.0,0.54,0.0,0.0,0.471
9606.ENSP00000166345,9606.ENSP00000265748,TRIP13,ANLN,9606,0.748,0.0,0.0,0.0,0.514,0.292,0.0,0.327
9606.ENSP00000166345,9606.ENSP00000358813,TRIP13,TTK,9606,0.759,0.0,0.0,0.0,0.614,0.0,0.0,0.402
9606.ENSP00000166345,9606.ENSP00000363524,TRIP13,KIF4A,9606,0.76,0.0,0.0,0.0,0.606,0.0,0.0,0.416
9606.ENSP00000166345,9606.ENSP00000355966,TRIP13,NEK2,9606,0.761,0.0,0.0,0.0,0.608,0.048,0.0,0.412
9606.ENSP00000166345,9606.ENSP00000377492,TRIP13,HMMR,9606,0.763,0.0,0.0,0.0,0.653,0.071,0.0,0.325
9606.ENSP00000166345,9606.ENSP00000216911,TRIP13,AURKA,9606,0.771,0.0,0.0,0.0,0.614,0.064,0.0,0.416
9606.ENSP00000166345,9606.ENSP00000442068,TRIP13,CDCA3,9606,0.774,0.0,0.0,0.0,0.69,0.0,0.0,0.301
9606.ENSP00000166345,9606.ENSP00000481380,TRIP13,CCNA2,9606,0.778,0.0,0.0,0.0,0.692,0.0,0.0,0.308
9606.ENSP00000166345,9606.ENSP00000260363,TRIP13,KIF23,9606,0.779,0.0,0.0,0.0,0.596,0.292,0.0,0.29
9606.ENSP00000166345,9606.ENSP00000355167,TRIP13,HORMAD1,9606,0.781,0.0,0.0,0.0,0.067,0.214,0.0,0.725
9606.ENSP00000166345,9606.ENSP00000313950,TRIP13,AURKB,9606,0.788,0.0,0.0,0.0,0.562,0.308,0.0,0.357
9606.ENSP00000166345,9606.ENSP00000247191,TRIP13,DLGAP5,9606,0.789,0.0,0.0,0.0,0.656,0.0,0.0,0.413
9606.ENSP00000166345,9606.ENSP00000260731,TRIP13,KIF11,9606,0.789,0.0,0.0,0.0,0.668,0.0,0.0,0.391
9606.ENSP00000166345,9606.ENSP00000256442,TRIP13,CCNB1,9606,0.797,0.0,0.0,0.0,0.686,0.112,0.0,0.331
9606.ENSP00000166345,9606.ENSP00000342307,TRIP13,FOXM1,9606,0.8,0.0,0.0,0.0,0.505,0.061,0.0,0.603
9606.ENSP00000166345,9606.ENSP00000361298,TRIP13,KIF2C,9606,0.811,0.0,0.0,0.0,0.721,0.0,0.0,0.35
9606.ENSP00000166345,9606.ENSP00000360540,TRIP13,CEP55,9606,0.815,0.0,0.0,0.0,0.685,0.0,0.0,0.436
9606.ENSP00000166345,9606.ENSP00000271452,TRIP13,NUF2,9606,0.816,0.0,0.0,0.0,0.753,0.049,0.0,0.281
9606.ENSP00000166345,9606.ENSP00000377793,TRIP13,PRC1,9606,0.82,0.0,0.0,0.0,0.729,0.292,0.0,0.137
9606.ENSP00000166345,9606.ENSP00000411532,TRIP13,TOP2A,9606,0.823,0.0,0.0,0.0,0.546,0.091,0.0,0.606
9606.ENSP00000166345,9606.ENSP00000348838,TRIP13,UBE2C,9606,0.828,0.0,0.0,0.0,0.47,0.091,0.0,0.672
9606.ENSP00000166345,9606.ENSP00000428489,TRIP13,PBK,9606,0.84,0.0,0.0,0.0,0.644,0.096,0.0,0.544
9606.ENSP00000166345,9606.ENSP00000378699,TRIP13,CDK1,9606,0.845,0.0,0.0,0.0,0.689,0.051,0.0,0.517
9606.ENSP00000166345,9606.ENSP00000275517,TRIP13,CDCA5,9606,0.876,0.0,0.0,0.0,0.811,0.0,0.0,0.371
9606.ENSP00000166345,9606.ENSP00000300403,TRIP13,TPX2,9606,0.879,0.0,0.0,0.0,0.784,0.065,0.0,0.447
9606.ENSP00000166345,9606.ENSP00000298048,TRIP13,MELK,9606,0.906,0.0,0.0,0.0,0.845,0.0,0.0,0.419
9606.ENSP00000166345,9606.ENSP00000378356,TRIP13,KIF20A,9606,0.913,0.0,0.0,0.0,0.787,0.292,0.0,0.471
9606.ENSP00000166345,9606.ENSP00000287598,TRIP13,BUB1B,9606,0.928,0.0,0.0,0.0,0.683,0.51,0.0,0.576
9606.ENSP00000166345,9606.ENSP00000296509,TRIP13,MAD2L1,9606,0.994,0.0,0.0,0.0,0.59,0.977,0.0,0.437
9606.ENSP00000166345,9606.ENSP00000361540,TRIP13,CDC20,9606,0.996,0.0,0.0,0.0,0.81,0.944,0.0,0.734
9606.ENSP00000215743,9606.ENSP00000359114,MMP11,COL11A1,9606,0.732,0.0,0.0,0.0,0.323,0.05,0.0,0.616
9606.ENSP00000215743,9606.ENSP00000260227,MMP11,MMP7,9606,0.75,0.0,0.0,0.112,0.064,0.0,0.5,0.471
9606.ENSP00000215743,9606.ENSP00000322788,MMP11,MMP1,9606,0.772,0.0,0.0,0.113,0.149,0.0,0.5,0.468
9606.ENSP00000215743,9606.ENSP00000327368,MMP11,COL10A1,9606,0.812,0.0,0.0,0.0,0.524,0.05,0.0,0.617
9606.ENSP00000216446,9606.ENSP00000217289,PLEK2,FERMT1,9606,0.8,0.0,0.0,0.0,0.188,0.0,0.0,0.764
9606.ENSP00000216911,9606.ENSP00000315644,AURKA,TYMS,9606,0.729,0.0,0.0,0.0,0.551,0.0,0.0,0.421
9606.ENSP00000216911,9606.ENSP00000300035,AURKA,PCLAF,9606,0.735,0.0,0.0,0.0,0.445,0.0,0.0,0.543
9606.ENSP00000216911,9606.ENSP00000265748,AURKA,ANLN,9606,0.741,0.0,0.0,0.0,0.541,0.0,0.0,0.459
9606.ENSP00000216911,9606.ENSP00000313199,AURKA,HNRNPD,9606,0.744,0.0,0.0,0.0,0.118,0.672,0.0,0.186
9606.ENSP00000216911,9606.ENSP00000391090,AURKA,CHEK1,9606,0.754,0.0,0.0,0.0,0.471,0.075,0.0,0.537
9606.ENSP00000216911,9606.ENSP00000320147,AURKA,EZH2,9606,0.761,0.0,0.0,0.0,0.291,0.102,0.0,0.655
9606.ENSP00000216911,9606.ENSP00000358813,AURKA,TTK,9606,0.779,0.0,0.0,0.0,0.676,0.094,0.0,0.307
9606.ENSP00000216911,9606.ENSP00000412292,AURKA,DEPDC1,9606,0.782,0.0,0.0,0.0,0.701,0.0,0.0,0.3
9606.ENSP00000216911,9606.ENSP00000363055,AURKA,ZWINT,9606,0.787,0.0,0.0,0.0,0.431,0.0,0.0,0.642
9606.ENSP00000216911,9606.ENSP00000428489,AURKA,PBK,9606,0.791,0.0,0.0,0.0,0.617,0.067,0.0,0.462
9606.ENSP00000216911,9606.ENSP00000342307,AURKA,FOXM1,9606,0.793,0.0,0.0,0.0,0.498,0.051,0.0,0.599
9606.ENSP00000216911,9606.ENSP00000323300,AURKA,SPAG5,9606,0.8,0.0,0.0,0.0,0.581,0.294,0.0,0.376
9606.ENSP00000216911,9606.ENSP00000429089,AURKA,CCNE2,9606,0.812,0.0,0.0,0.0,0.191,0.616,0.0,0.446
9606.ENSP00000216911,9606.ENSP00000442068,AURKA,CDCA3,9606,0.815,0.0,0.0,0.0,0.729,0.0,0.0,0.348
9606.ENSP00000216911,9606.ENSP00000355966,AURKA,NEK2,9606,0.829,0.0,0.0,0.123,0.641,0.0,0.0,0.501
9606.ENSP00000216911,9606.ENSP00000376457,AURKA,ECT2,9606,0.831,0.0,0.0,0.0,0.495,0.071,0.0,0.67
9606.ENSP00000216911,9606.ENSP00000499238,AURKA,NUSAP1,9606,0.843,0.0,0.0,0.0,0.705,0.0,0.0,0.488
9606.ENSP00000216911,9606.ENSP00000357643,AURKA,MKI67,9606,0.85,0.0,0.0,0.0,0.523,0.0,0.0,0.7
9606.ENSP00000216911,9606.ENSP00000414109,AURKA,HJURP,9606,0.852,0.0,0.0,0.0,0.78,0.0,0.0,0.357
9606.ENSP00000216911,9606.ENSP00000275517,AURKA,CDCA5,9606,0.864,0.0,0.0,0.0,0.672,0.0,0.0,0.604
9606.ENSP00000216911,9606.ENSP00000335357,AURKA,CDKN3,9606,0.87,0.0,0.0,0.0,0.793,0.135,0.0,0.334
9606.ENSP00000216911,9606.ENSP00000363524,AURKA,KIF4A,9606,0.885,0.0,0.0,0.0,0.692,0.0,0.0,0.642
9606.ENSP00000216911,9606.ENSP00000353770,AURKA,RRM2,9606,0.892,0.0,0.0,0.0,0.574,0.0,0.0,0.757
9606.ENSP00000216911,9606.ENSP00000271452,AURKA,NUF2,9606,0.893,0.0,0.0,0.0,0.674,0.292,0.0,0.574
9606.ENSP00000216911,9606.ENSP00000355922,AURKA,CENPF,9606,0.902,0.0,0.0,0.0,0.679,0.0,0.0,0.708
9606.ENSP00000216911,9606.ENSP00000377793,AURKA,PRC1,9606,0.91,0.0,0.0,0.0,0.823,0.075,0.0,0.498
9606.ENSP00000216911,9606.ENSP00000298048,AURKA,MELK,9606,0.913,0.0,0.0,0.093,0.831,0.045,0.0,0.479
9606.ENSP00000216911,9606.ENSP00000313950,AURKA,AURKB,9606,0.922,0.0,0.0,0.061,0.573,0.421,0.54,0.387
9606.ENSP00000216911,9606.ENSP00000260363,AURKA,KIF23,9606,0.924,0.0,0.0,0.0,0.694,0.091,0.0,0.749
9606.ENSP00000216911,9606.ENSP00000287598,AURKA,BUB1B,9606,0.924,0.0,0.0,0.0,0.723,0.089,0.0,0.722
9606.ENSP00000216911,9606.ENSP00000296509,AURKA,MAD2L1,9606,0.929,0.0,0.0,0.0,0.647,0.1,0.0,0.796
9606.ENSP00000216911,9606.ENSP00000356379,AURKA,ASPM,9606,0.93,0.0,0.0,0.0,0.705,0.314,0.0,0.685
9606.ENSP00000216911,9606.ENSP00000261597,AURKA,NDC80,9606,0.933,0.0,0.0,0.0,0.72,0.474,0.0,0.584
9606.ENSP00000216911,9606.ENSP00000378356,AURKA,KIF20A,9606,0.936,0.0,0.0,0.0,0.833,0.084,0.0,0.616
9606.ENSP00000216911,9606.ENSP00000360540,AURKA,CEP55,9606,0.936,0.0,0.0,0.0,0.802,0.161,0.0,0.65
9606.ENSP00000216911,9606.ENSP00000481380,AURKA,CCNA2,9606,0.949,0.0,0.0,0.0,0.853,0.0,0.0,0.669
9606.ENSP00000216911,9606.ENSP00000378699,AURKA,CDK1,9606,0.951,0.0,0.0,0.125,0.777,0.525,0.0,0.537
9606.ENSP00000216911,9606.ENSP00000251496,AURKA,NCAPG,9606,0.952,0.0,0.0,0.0,0.816,0.103,0.0,0.735
