Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
207547_s_at,3.740951966829787,8.73023642099,-4.989284454160213,-35.62854412193681,5.2351870676924144e-86,2.8157977162290423e-81,Downregulated
206208_at,4.251615457670212,9.39113405885,-5.1395186011797875,-34.53066531185905,2.899591802949089e-84,7.797872235670986e-80,Downregulated
206209_s_at,3.356916211563829,9.74655619707,-6.38963998550617,-35.23606993972788,1.101265941792486e-83,1.9744229981750217e-79,Downregulated
1555191_a_at,3.1940749499468084,7.82090468038,-4.626829730433192,-32.99121569351098,9.505070080839007e-81,1.2780992484200171e-76,Downregulated
217177_s_at,3.6887326784042553,7.652662277840001,-3.9639295994357457,-33.029308732020056,2.363322810551515e-79,2.5422736137664757e-75,Downregulated
211237_s_at,3.0116754103617023,6.24672645717,-3.235051046808298,-32.15327042026066,8.516511487323242e-77,7.634484780952797e-73,Downregulated
206159_at,2.8381614036702127,7.61232146573,-4.774160062059787,-30.568901121288345,1.4172046425624077e-75,1.088939555783738e-71,Downregulated
238062_at,2.8825860715744676,8.21551854584,-5.332932474265533,-30.559140757322073,1.918069912838603e-75,1.2895663541492138e-71,Downregulated
213974_at,3.40002032625532,7.580057619389999,-4.180037293134679,-32.15904432860439,5.28844175241949e-75,3.1604903121737185e-71,Downregulated
206283_s_at,4.202060230542553,7.62154057627,-3.4194803457274467,-29.547163721838327,2.4301009795924042e-73,1.3070541128835705e-69,Downregulated
236154_at,3.705872052776596,6.593166672750001,-2.887294619973405,-30.76792077495298,4.64672384560313e-72,2.272078988723727e-68,Downregulated
238891_at,2.524374048617021,6.020220775080002,-3.495846726462981,-31.501887595136843,6.225669210366072e-72,2.7904487012395795e-68,Downregulated
220677_s_at,3.641903832180851,7.930457379440001,-4.28855354725915,-29.05808755251683,2.2796593929075227e-71,8.758125721923145e-68,Downregulated
217046_s_at,4.928695853829788,11.090437222710001,-6.161741368880214,-35.878080422867285,2.192571525801141e-71,8.758125721923145e-68,Downregulated
222121_at,3.4596079717872334,7.336510164990002,-3.8769021932027683,-29.06481510298389,2.486809053035117e-71,8.917034115103122e-68,Downregulated
219937_at,2.901177727234042,6.3702018126099995,-3.4690240853759575,-28.4322405843573,1.0779912705601457e-70,3.62380240489675e-67,Downregulated
1552667_a_at,4.216728279819149,7.85447252243,-3.637744242610851,-28.376108982287445,1.3233639235125785e-70,4.186967764120444e-67,Downregulated
209469_at,3.7773843909574465,9.39937072541,-5.621986334452553,-32.746721876768355,3.390075071223936e-70,1.0129920987825036e-66,Downregulated
230469_at,4.92770908062766,9.69929287123,-4.77158379060234,-28.777645834620362,1.0757060142400095e-69,3.045153877995429e-66,Downregulated
63305_at,4.376157036212766,7.67343333226,-3.297276296047234,-28.99344651518159,1.2667359563419088e-69,3.4066330073902954e-66,Downregulated
206030_at,2.8186647317127655,5.86849093319,-3.049826201477235,-27.742346543502535,4.4324572007862143e-69,1.1352578238166063e-65,Downregulated
206898_at,3.220464877244681,6.70260234166,-3.4821374644153185,-27.70036229806866,5.455614975363637e-69,1.333798668476857e-65,Downregulated
223775_at,3.0005100864255314,7.0116236036299995,-4.011113517204468,-27.86869091110217,5.850538613253338e-69,1.3681611732714959e-65,Downregulated
239262_at,4.278215911989363,8.18415200048,-3.9059360884906367,-28.205455320140747,3.1178121111435123e-68,6.987276758748539e-65,Downregulated
209840_s_at,3.321326325095744,8.326639574509999,-5.005313249414255,-28.952405651105806,4.660934384541979e-68,1.0027720672278994e-64,Downregulated
215918_s_at,4.89280740237234,9.283924882720001,-4.391117480347661,-31.661421657481643,5.615273599116209e-68,1.16162733000794e-64,Downregulated
207302_at,2.571117699968085,6.95966329745,-4.388545597481915,-30.831208397056965,2.3000067388860247e-67,4.581783794730509e-64,Downregulated
229529_at,2.97304222093617,7.0074092865500015,-4.034367065613831,-27.581255123865432,3.826235783461941e-67,7.349925637474427e-64,Downregulated
224339_s_at,3.4118470016382973,7.113079760350002,-3.701232758711704,-27.131200336256423,7.893728471176568e-67,1.4640416536231135e-63,Downregulated
206701_x_at,4.429448118521277,9.541347396719999,-5.111899278198722,-29.199597901397848,9.722903626078878e-67,1.7431869814409285e-63,Downregulated
206702_at,6.00691146651064,9.88023531608,-3.8733238495693607,-28.472777403697553,5.258209323806681e-66,9.1231627964602e-63,Downregulated
213715_s_at,4.689655998021276,8.315353144010002,-3.6256971459887257,-27.39666757276618,9.289507747253434e-66,1.4596898635420014e-62,Downregulated
205472_s_at,3.470765302872342,7.13486743035,-3.664102127477658,-26.39444315626896,9.209785069775128e-66,1.4596898635420014e-62,Downregulated
1560359_at,3.5886038172978725,7.016545209349999,-3.427941392052127,-26.53457408772221,9.769983841057533e-66,1.4596898635420014e-62,Downregulated
235108_at,3.6289408188723407,7.340186661260001,-3.71124584238766,-26.374569751652366,9.74539794573145e-66,1.4596898635420014e-62,Downregulated
238206_at,2.884833080148936,6.18971935364,-3.3048862734910642,-26.41657739376725,8.875651547761141e-66,1.4596898635420014e-62,Downregulated
1557729_at,2.8773220456702133,5.922888732940001,-3.0455666872697873,-28.724733502194162,1.1892006270417022e-65,1.7287120250287836e-62,Downregulated
243813_at,4.389114756787233,8.94058462192,-4.551469865132766,-27.62309172327714,1.672446203162419e-65,2.367215565349839e-62,Downregulated
219046_s_at,4.77291373744681,7.35335415434,-2.5804404168931896,-26.24144424726076,2.0960584500986467e-65,2.890733328128354e-62,Downregulated
225660_at,4.509367169170213,8.76895634675,-4.259589177579787,-27.504514165396944,3.934083302313035e-65,5.289965112455222e-62,Downregulated
200878_at,12.291104178936173,14.407266525400003,-2.1161623464638293,-27.73238324136534,6.919321707677208e-65,9.07713749680796e-62,Downregulated
205779_at,5.358437201468084,9.37410910141,-4.015671899941915,-26.058821289246787,3.191350559541586e-64,3.929232437071057e-61,Downregulated
209470_s_at,4.091012253234043,10.42184218789,-6.330829934655958,-31.742272118744232,3.117610720141376e-64,3.929232437071057e-61,Downregulated
228568_at,4.930526453382979,9.170609029740001,-4.240082576357023,-27.004623970158203,3.214335091494562e-64,3.929232437071057e-61,Downregulated
205507_at,3.6105399922021277,6.38881370409,-2.7782737118878726,-26.20434107160917,7.184298001072008e-64,8.586992273014646e-61,Downregulated
223449_at,4.602379376542554,8.261477133539998,-3.6590977569974443,-26.241862459101284,1.0522886507424025e-63,1.230399942800671e-60,Downregulated
239183_at,2.871456737138298,6.158672410479999,-3.2872156733417004,-26.871678501825414,2.26941738185695e-63,2.570296308133179e-60,Downregulated
204271_s_at,7.631159424021277,11.61198185416,-3.9808224301387227,-28.083140872947023,2.2937980662327114e-63,2.570296308133179e-60,Downregulated
242009_at,4.697217373287234,11.40887082535,-6.711653452062766,-26.00792893519371,2.6131858239580253e-63,2.868424749538905e-60,Downregulated
204422_s_at,3.925967042468085,7.16934440743,-3.2433773649619146,-27.286590893730043,2.747399809991981e-63,2.9554329236045735e-60,Downregulated
222738_at,4.853952184436169,7.56303930857,-2.7090871241338306,-26.721449508922504,4.0082297865105e-63,4.22718916269125e-60,Downregulated
219689_at,3.815405560702128,8.52208488662,-4.706679325917872,-25.31775351797388,5.326074531442215e-63,5.509004706695211e-60,Downregulated
236359_at,4.49562968288298,8.687112481729999,-4.191482798847019,-26.765850244628616,7.380267466365855e-63,7.489718225395358e-60,Downregulated
239650_at,4.037760744202127,8.48249323179,-4.444732487587873,-28.761212338156753,1.4133856598978685e-62,1.4077844648753105e-59,Downregulated
231804_at,2.8878274324787245,6.405420072930001,-3.5175926404512765,-26.18831629862383,2.4581929862260546e-62,2.403933962857356e-59,Downregulated
228770_at,4.62387906630851,7.9487407878,-3.32486172149149,-26.198694536310924,2.697941829206679e-62,2.5912767718876864e-59,Downregulated
204395_s_at,4.46311281575532,8.029554920509998,-3.566442104754678,-25.989216819593633,3.561389789176746e-62,3.3605773894852714e-59,Downregulated
204396_s_at,8.319814209276595,11.352080354139998,-3.032266144863403,-28.191571623469912,4.34790432352339e-62,4.032006585259122e-59,Downregulated
205993_s_at,4.743825784234041,7.488977330339997,-2.745151546105956,-24.879706805456088,6.529730183123295e-62,5.952679112363891e-59,Downregulated
1555578_at,3.401680554723405,5.432896041099999,-2.0312154863765945,-24.826804492464476,9.56159776813311e-62,8.571334959280125e-59,Downregulated
1554762_a_at,5.842964805606384,8.14977622215,-2.306811416543617,-24.69547948027604,1.6670376294360086e-61,1.4698899333909043e-58,Downregulated
220037_s_at,4.630297016617021,9.01732063791,-4.387023621292979,-24.87798216816671,3.0261967211612364e-61,2.6252744652319074e-58,Downregulated
229172_at,4.918972303244681,8.01695763875,-3.097985335505319,-25.184777761162803,3.291621296432219e-61,2.8102086198397355e-58,Downregulated
207195_at,2.6667484886276607,5.3362832284,-2.6695347397723395,-26.362708003309,5.960189250488547e-61,5.008980297293391e-58,Downregulated
61297_at,5.938102626914893,8.7134365435,-2.775333916585107,-24.49664203972388,6.748123257587113e-61,5.5839162697320075e-58,Downregulated
228819_at,3.3285402029148936,6.447158463260001,-3.1186182603451074,-24.636207151776265,1.3012332486745643e-60,1.0604262350486381e-57,Downregulated
206069_s_at,3.6971499083085098,7.673579473530001,-3.9764295652214914,-27.731967395365807,1.5609859805516205e-60,1.2531222679096934e-57,Downregulated
