Gene,F_Score,ID,Gene Symbol,Gene Title,Display_Name
217046_s_at,1334.9914954861315,217046_s_at,AGER,advanced glycosylation end product-specific receptor,AGER
207547_s_at,1256.1890338948697,207547_s_at,FAM107A,"family with sequence similarity 107, member A",FAM107A
206209_s_at,1253.180589412425,206209_s_at,CA4,carbonic anhydrase IV,CA4
206208_at,1189.7541095790589,206208_at,CA4,carbonic anhydrase IV,CA4
209469_at,1104.474809398397,209469_at,GPM6A,glycoprotein M6A,GPM6A
1555191_a_at,1089.7496377104512,1555191_a_at,FHL5,four and a half LIM domains 5,FHL5
217177_s_at,1073.201448462131,217177_s_at,PTPRB,"protein tyrosine phosphatase, receptor type, B",PTPRB
213974_at,1051.5195249253268,213974_at,ADAMTSL3,ADAMTS-like 3,ADAMTSL3
209470_s_at,1046.2781529500037,209470_s_at,GPM6A,glycoprotein M6A,GPM6A
215918_s_at,1033.103790325613,215918_s_at,SPTBN1,"spectrin, beta, non-erythrocytic 1",SPTBN1
211237_s_at,1014.5065353708428,211237_s_at,FGFR4,fibroblast growth factor receptor 4,FGFR4
238891_at,964.8803178310245,238891_at,238891_at,,238891_at
236154_at,962.7980256171561,236154_at,QKI,"QKI, KH domain containing, RNA binding",QKI
241672_at,940.6486262650653,241672_at,SERTM1,serine-rich and transmembrane domain containing 1,SERTM1
206159_at,934.0450957651261,206159_at,GDF10,growth differentiation factor 10,GDF10
238062_at,925.8794870311517,238062_at,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,GPIHBP1
207302_at,917.8683091758674,207302_at,SGCG,"sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)",SGCG
206701_x_at,871.9273461569358,206701_x_at,EDNRB,endothelin receptor type B,EDNRB
206283_s_at,870.6841041592622,206283_s_at,TAL1,T-cell acute lymphocytic leukemia 1,TAL1
226694_at,865.6391149507383,226694_at,AKAP2,A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 readthrough,AKAP2
209840_s_at,852.9605772061522,209840_s_at,LRRN3,leucine rich repeat neuronal 3,LRRN3
239650_at,852.6253343274627,239650_at,NCKAP5,NCK-associated protein 5,NCKAP5
63305_at,851.3338345211897,63305_at,PKNOX2,PBX/knotted 1 homeobox 2,PKNOX2
222121_at,849.839867768403,222121_at,ARHGEF26,Rho guanine nucleotide exchange factor (GEF) 26,ARHGEF26
220677_s_at,849.190431799251,220677_s_at,ADAMTS8,"ADAM metallopeptidase with thrombospondin type 1 motif, 8",ADAMTS8
205637_s_at,848.6547975786768,205637_s_at,SH3GL3,SH3-domain GRB2-like 3,SH3GL3
210081_at,848.2526063916985,210081_at,AGER,advanced glycosylation end product-specific receptor,AGER
230469_at,836.9538482427095,230469_at,RTKN2,rhotekin 2,RTKN2
206702_at,827.3571250300712,206702_at,TEK,"TEK tyrosine kinase, endothelial",TEK
204396_s_at,818.016744887923,204396_s_at,GRK5,G protein-coupled receptor kinase 5,GRK5
227929_at,813.7807286904266,227929_at,LIN7A,lin-7 homolog A (C. elegans),LIN7A
204271_s_at,808.7616239269305,204271_s_at,EDNRB,endothelin receptor type B,EDNRB
219937_at,807.0934981408325,219937_at,TRHDE,thyrotropin-releasing hormone degrading enzyme,TRHDE
239262_at,804.5346555495961,239262_at,239262_at,,239262_at
1552667_a_at,801.6913168113509,1552667_a_at,SH2D3C,SH2 domain containing 3C,SH2D3C
1557729_at,800.9448783437713,1557729_at,GRK5,G protein-coupled receptor kinase 5,GRK5
206069_s_at,792.8069229724265,206069_s_at,ACADL,"acyl-CoA dehydrogenase, long chain",ACADL
209793_at,785.0315633281315,209793_at,GRIA1,"glutamate receptor, ionotropic, AMPA 1",GRIA1
200878_at,783.8299154260277,200878_at,EPAS1,endothelial PAS domain protein 1,EPAS1
223775_at,779.1393052478303,223775_at,HHIP,hedgehog interacting protein,HHIP
243813_at,775.5848101692259,243813_at,LINC00968,long intergenic non-protein coding RNA 968,LINC00968
225660_at,769.2095953450449,225660_at,SEMA6A,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",SEMA6A
229529_at,768.1812777753697,229529_at,TCF21,transcription factor 21,TCF21
206030_at,767.5385128876649,206030_at,ASPA,aspartoacylase,ASPA
205935_at,766.3484468073553,205935_at,FOXF1,forkhead box F1,FOXF1
206898_at,764.2043196029008,206898_at,CDH19,"cadherin 19, type 2",CDH19
213715_s_at,760.89252230098,213715_s_at,KANK3,KN motif and ankyrin repeat domains 3,KANK3
204422_s_at,760.2420967385477,204422_s_at,FGF2,fibroblast growth factor 2 (basic),FGF2
221132_at,759.2403003336411,221132_at,CLDN18,claudin 18,CLDN18
202148_s_at,749.2829346944508,202148_s_at,PYCR1,pyrroline-5-carboxylate reductase 1,PYCR1
228568_at,740.9774025149482,228568_at,MYZAP,myocardial zonula adherens protein,MYZAP
204931_at,738.5178973143805,204931_at,TCF21,transcription factor 21,TCF21
236359_at,729.9138799902843,236359_at,SCN4B,"sodium channel, voltage-gated, type IV, beta subunit",SCN4B
222738_at,726.6340703158788,222738_at,CLDN22,claudin 22 /// WW and C2 domain containing 2,CLDN22
224339_s_at,726.2737765083803,224339_s_at,ANGPTL1,angiopoietin-like 1,ANGPTL1
202524_s_at,723.2987242452508,202524_s_at,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",SPOCK2
1555216_a_at,712.5308423951927,1555216_a_at,LOC101060604,"putative L-type amino acid transporter 1-like protein IMAA-like /// solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 1 /// solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 2",LOC101060604
204642_at,712.380691366627,204642_at,S1PR1,sphingosine-1-phosphate receptor 1,S1PR1
205200_at,710.298664594853,205200_at,CLEC3B,"C-type lectin domain family 3, member B /// exosome component 7",CLEC3B
1560359_at,706.3525298583253,1560359_at,ITGA1,"integrin, alpha 1",ITGA1
1556579_s_at,704.7896061171493,1556579_s_at,IGSF10,"immunoglobulin superfamily, member 10",IGSF10
226950_at,704.5896331440963,226950_at,ACVRL1,activin A receptor type II-like 1,ACVRL1
239183_at,704.220827690263,239183_at,ANGPTL1,angiopoietin-like 1,ANGPTL1
220170_at,704.2114238563751,220170_at,FHL5,four and a half LIM domains 5,FHL5
203812_at,701.69158404983,203812_at,SLIT3,slit homolog 3 (Drosophila),SLIT3
242500_at,699.3222257893145,242500_at,242500_at,,242500_at
212071_s_at,699.1022811624963,212071_s_at,SPTBN1,"spectrin, beta, non-erythrocytic 1",SPTBN1
228770_at,697.6087340760371,228770_at,GPR146,G protein-coupled receptor 146,GPR146
231804_at,696.8952913636076,231804_at,RXFP1,relaxin/insulin-like family peptide receptor 1,RXFP1
223449_at,696.2795369141623,223449_at,SEMA6A,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",SEMA6A
205472_s_at,695.4064549347436,205472_s_at,DACH1,dachshund family transcription factor 1,DACH1
226028_at,694.4359251723289,226028_at,ROBO4,"roundabout, axon guidance receptor, homolog 4 (Drosophila)",ROBO4
238206_at,693.071771645073,238206_at,RXFP1,relaxin/insulin-like family peptide receptor 1,RXFP1
235108_at,692.1875338058769,235108_at,KCNK3,"potassium channel, subfamily K, member 3",KCNK3
219046_s_at,686.7729508670378,219046_s_at,PKNOX2,PBX/knotted 1 homeobox 2,PKNOX2
204395_s_at,685.5726489069975,204395_s_at,GRK5,G protein-coupled receptor kinase 5,GRK5
209841_s_at,683.7393300219709,209841_s_at,LRRN3,leucine rich repeat neuronal 3,LRRN3
205779_at,683.0548342367605,205779_at,RAMP2,receptor (G protein-coupled) activity modifying protein 2,RAMP2
205384_at,682.3595471679906,205384_at,FXYD1,FXYD domain containing ion transport regulator 1,FXYD1
202200_s_at,681.2485769164251,202200_s_at,SRPK1,SRSF protein kinase 1,SRPK1
208981_at,679.0370470872791,208981_at,PECAM1,platelet/endothelial cell adhesion molecule 1,PECAM1
209074_s_at,677.5424912045144,209074_s_at,FAM107A,"family with sequence similarity 107, member A",FAM107A
202759_s_at,675.6836255199572,202759_s_at,AKAP2,A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 readthrough,AKAP2
207195_at,675.2092212304301,207195_at,CNTN6,contactin 6,CNTN6
205507_at,674.8368135552847,205507_at,ARHGEF15,Rho guanine nucleotide exchange factor (GEF) 15,ARHGEF15
225078_at,668.9376003358718,225078_at,EMP2,epithelial membrane protein 2,EMP2
230132_at,668.8394410305624,230132_at,PCAT19,prostate cancer associated transcript 19 (non-protein coding),PCAT19
204677_at,666.9879675914402,204677_at,CDH5,"cadherin 5, type 2 (vascular endothelium)",CDH5
242009_at,664.4800106623677,242009_at,SLC6A4,"solute carrier family 6 (neurotransmitter transporter), member 4",SLC6A4
212636_at,663.6950500652205,212636_at,QKI,"QKI, KH domain containing, RNA binding",QKI
241811_x_at,663.5390180813316,241811_x_at,SLC6A4,"solute carrier family 6 (neurotransmitter transporter), member 4",SLC6A4
228193_s_at,663.0019126940604,228193_s_at,228193_s_at,,228193_s_at
221133_s_at,660.3210165094582,221133_s_at,CLDN18,claudin 18,CLDN18
204273_at,656.0104800508194,204273_at,EDNRB,endothelin receptor type B,EDNRB
202760_s_at,655.1845280482468,202760_s_at,AKAP2,A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 readthrough,AKAP2
220351_at,653.0809857528518,220351_at,ACKR4,atypical chemokine receptor 4,ACKR4
236262_at,651.9619122742844,236262_at,MMRN2,multimerin 2,MMRN2
213103_at,650.5621553515148,213103_at,STARD13,StAR-related lipid transfer (START) domain containing 13,STARD13
201539_s_at,648.7313984817837,201539_s_at,FHL1,four and a half LIM domains 1,FHL1
218723_s_at,648.4811628348432,218723_s_at,RGCC,regulator of cell cycle,RGCC
