Gene,F_Score
217046_s_at,1334.9914954861315
207547_s_at,1256.1890338948697
206209_s_at,1253.180589412425
206208_at,1189.7541095790589
209469_at,1104.474809398397
1555191_a_at,1089.7496377104512
217177_s_at,1073.201448462131
213974_at,1051.5195249253268
209470_s_at,1046.2781529500037
215918_s_at,1033.103790325613
211237_s_at,1014.5065353708428
238891_at,964.8803178310245
236154_at,962.7980256171561
241672_at,940.6486262650653
206159_at,934.0450957651261
238062_at,925.8794870311517
207302_at,917.8683091758674
206701_x_at,871.9273461569358
206283_s_at,870.6841041592622
226694_at,865.6391149507383
209840_s_at,852.9605772061522
239650_at,852.6253343274627
63305_at,851.3338345211897
222121_at,849.839867768403
220677_s_at,849.190431799251
205637_s_at,848.6547975786768
210081_at,848.2526063916985
230469_at,836.9538482427095
206702_at,827.3571250300712
204396_s_at,818.016744887923
227929_at,813.7807286904266
204271_s_at,808.7616239269305
219937_at,807.0934981408325
239262_at,804.5346555495961
1552667_a_at,801.6913168113509
1557729_at,800.9448783437713
206069_s_at,792.8069229724265
209793_at,785.0315633281315
200878_at,783.8299154260277
223775_at,779.1393052478303
243813_at,775.5848101692259
225660_at,769.2095953450449
229529_at,768.1812777753697
206030_at,767.5385128876649
205935_at,766.3484468073553
206898_at,764.2043196029008
213715_s_at,760.89252230098
204422_s_at,760.2420967385477
221132_at,759.2403003336411
202148_s_at,749.2829346944508
228568_at,740.9774025149482
204931_at,738.5178973143805
236359_at,729.9138799902843
222738_at,726.6340703158788
224339_s_at,726.2737765083803
202524_s_at,723.2987242452508
1555216_a_at,712.5308423951927
204642_at,712.380691366627
205200_at,710.298664594853
1560359_at,706.3525298583253
1556579_s_at,704.7896061171493
226950_at,704.5896331440963
239183_at,704.220827690263
220170_at,704.2114238563751
203812_at,701.69158404983
242500_at,699.3222257893145
212071_s_at,699.1022811624963
228770_at,697.6087340760371
231804_at,696.8952913636076
223449_at,696.2795369141623
205472_s_at,695.4064549347436
226028_at,694.4359251723289
238206_at,693.071771645073
235108_at,692.1875338058769
219046_s_at,686.7729508670378
204395_s_at,685.5726489069975
209841_s_at,683.7393300219709
205779_at,683.0548342367605
205384_at,682.3595471679906
202200_s_at,681.2485769164251
208981_at,679.0370470872791
209074_s_at,677.5424912045144
202759_s_at,675.6836255199572
207195_at,675.2092212304301
205507_at,674.8368135552847
225078_at,668.9376003358718
230132_at,668.8394410305624
204677_at,666.9879675914402
242009_at,664.4800106623677
212636_at,663.6950500652205
241811_x_at,663.5390180813316
228193_s_at,663.0019126940604
221133_s_at,660.3210165094582
204273_at,656.0104800508194
202760_s_at,655.1845280482468
220351_at,653.0809857528518
236262_at,651.9619122742844
213103_at,650.5621553515148
201539_s_at,648.7313984817837
218723_s_at,648.4811628348432
