Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
206239_s_at,10.68917991456383,4.09396044568,6.595219468883831,16.571893434335976,4.7553495630438914e-33,1.8960061645506208e-31,True,Upregulated,SPINK1,"serine peptidase inhibitor, Kazal type 1",SPINK1
209875_s_at,12.773042183468087,6.791341679839999,5.981700503628089,21.61116749894031,2.470575458675377e-52,6.3885755586689335e-50,True,Upregulated,SPP1,secreted phosphoprotein 1,SPP1
204580_at,9.016599493404255,3.2649038278300004,5.751695665574255,16.718033578395175,7.525574141703478e-35,3.541299481939311e-33,True,Upregulated,MMP12,matrix metallopeptidase 12 (macrophage elastase),MMP12
205242_at,9.817194865159573,4.833088024089999,4.984106841069574,12.711874252079767,3.0205047400828778e-27,7.246247455401322e-26,True,Upregulated,CXCL13,chemokine (C-X-C motif) ligand 13,CXCL13
218469_at,8.664269653223405,3.72004849315,4.944221160073405,15.829425258219151,1.6012327713683284e-34,7.311027660510773e-33,True,Upregulated,GREM1,"gremlin 1, DAN family BMP antagonist",GREM1
37892_at,7.234079482968085,2.3057553782300007,4.928324104738084,13.938352955320685,6.838115519563128e-25,1.326342882564812e-23,True,Upregulated,COL11A1,"collagen, type XI, alpha 1",COL11A1
220393_at,7.166198652882979,2.35769934135,4.808499311532979,15.138100194950676,5.588048820743423e-27,1.308484083032241e-25,True,Upregulated,LGSN,"lengsin, lens protein with glutamine synthetase domain",LGSN
1552767_a_at,9.902847475489361,5.15458329091,4.748264184579361,18.946369496487854,1.0171308287011516e-43,1.0897888197713174e-41,True,Upregulated,HS6ST2,heparan sulfate 6-O-sulfotransferase 2,HS6ST2
204475_at,9.3982971481383,4.667759150189999,4.7305379979483,11.685446600839956,1.8997033673433004e-23,3.269678250109656e-22,True,Upregulated,MMP1,matrix metallopeptidase 1 (interstitial collagenase),MMP1
201291_s_at,9.100906952510638,4.3915287551799995,4.709378197330638,22.402484096759405,8.540400187186073e-54,2.767192557036085e-51,True,Upregulated,TOP2A,topoisomerase (DNA) II alpha 170kDa,TOP2A
218960_at,7.733602197468085,3.1478274342099994,4.585774763258085,21.495728432016183,2.927978040272893e-44,3.336530230383852e-42,True,Upregulated,TMPRSS4,"transmembrane protease, serine 4",TMPRSS4
223278_at,7.815574801063829,3.2438952298599997,4.57167957120383,16.64731719737651,4.988805053185746e-34,2.1691824461653074e-32,True,Upregulated,GJB2,"gap junction protein, beta 2, 26kDa",GJB2
201884_at,10.871816865925531,6.312708230419999,4.559108635505532,11.98444928592052,3.949397388192279e-24,7.178853934481578e-23,True,Upregulated,CEACAM5,carcinoembryonic antigen-related cell adhesion molecule 5,CEACAM5
202575_at,8.62343685780851,4.25873792721,4.36469893059851,16.524300327941358,3.3556289258656477e-34,1.4879295746628995e-32,True,Upregulated,CRABP2,cellular retinoic acid binding protein 2,CRABP2
217428_s_at,9.12014606519149,4.7805096011,4.339636464091489,17.02447345212416,7.633790908628303e-38,4.9055086954776816e-36,True,Upregulated,COL10A1,"collagen, type X, alpha 1",COL10A1
209773_s_at,8.55553592587234,4.3483904534299995,4.20714547244234,18.929622535298794,1.3898976478605239e-45,1.8596277335280133e-43,True,Upregulated,RRM2,ribonucleotide reductase M2,RRM2
202831_at,6.609681803606383,2.4067014760699994,4.202980327536384,9.62120928656503,8.055145150479059e-16,7.0413462873991e-15,True,Upregulated,GPX2,glutathione peroxidase 2 (gastrointestinal),GPX2
219918_s_at,7.306821156638298,3.211091233980001,4.095729922658297,20.574009626380715,4.547641087708473e-45,5.768854328855848e-43,True,Upregulated,ASPM,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",ASPM
204641_at,6.978276776978721,2.9803042933500006,3.99797248362872,20.06449831309738,7.802896141018421e-40,5.828980164455788e-38,True,Upregulated,NEK2,NIMA-related kinase 2,NEK2
206504_at,7.021968497223404,3.0335030017399998,3.9884654954834042,11.878203259211109,2.7487285271328056e-21,3.9153366673825504e-20,True,Upregulated,CYP24A1,"cytochrome P450, family 24, subfamily A, polypeptide 1",CYP24A1
